WRONG_SUM! 17/01 13:56:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:04 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:56:04 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 80  	b'3 (\xce\xc5qg2T\xdc\xae\x0c\xdc\xde\x1a\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 245  	b'S\xf5\xff\xc8\xfe\xfe\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 97  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\x99\n'
WRONG_SUM! 17/01 13:56:05 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 249  	b'\x03\x8fu\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 123  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 249  	b'3\x00\xa8YF\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 166  	b'3\x00\xa8\xef\xc5U\xd0\x85_\xd6\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 110  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00oU\xff\xc9\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 208  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b'\xf3N\xfe\xee\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 225  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1fK\x00s\xf5I\xff}\x00'
