WRONG_SUM! 17/01 14:11:44 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 222  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 171  	b'\xc7\x80@x\x85\xe1\x9e\x1c2\xe8\x9c\xb9\xe8$i\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 166  	b'\xc7\x00@~YR\x0e\x1c\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:11:44 SUM: 126  	b'3\x00(\xee\xc5qg2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 43  	b'S\xf5\xff\x92\xfe\xfe\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 1  	b'\x9a\x80@\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:11:45 SUM: 241  	b'\x14\xdc\xb6W\x12\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 96  	b's\xf5I\xff\xa9q\xa6\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 115  	b'\x03\x80@\xde\xc5\xd1o\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 181  	b'3 \xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 213  	b'\xce\x8fo\xcc\xcb?\x95\xcb\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b'\xf3N\xfe\xee\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 222  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 68  	b'\xc7\x80@x\x85\xe1\xdf\x1c2\xe8\x9c\xb9\xa1$\xf2\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 214  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 80  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 44  	b'se\xfc\x00'
WRONG_SUM! 17/01 14:11:45 SUM: 118  	b'3 (\xce\xc5qo2\x14\xdc\xae\x04\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 25  	b'\x9a\x80@\xde\xc5\xd1o\x85\x8c\x99\n'
WRONG_SUM! 17/01 14:11:46 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 83  	b'\x03\x80\x80\xde\xc5\xd1o\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 222  	b'3 \xa8\x0f1\xed\xb1\x07B\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 64  	b'3\x00\xa8\xef@U\xd0\xc2_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 141  	b'\xce\x8fo\xcc\x8b\xbf*-\xbf\xaa\xd9\xe7\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 182  	b'S\xf5\xc9\x00\xc7\x9a\x07g\x1fK\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 120  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xe8$\xfb\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 179  	b'\xc7\x00@\xf9\xb2Hs\xe0\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 214  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 26  	b'3\xe0\xeeW\xfe\x0e\xfc\x86\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 14:11:46 SUM: 201  	b'3\x10(\xef\xc5q\xef2T\xdc\xae\x04\xdc\xde\x10\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 90  	b'\x9a\x80\x00\xde\xc5\xd1o\x85\x8c\x98\n'
WRONG_SUM! 17/01 14:11:47 SUM: 1  	b'\x14\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 68  	b's\xf5I\xff\xa9q\xc2\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 77  	b'3\xe0\xe7Y\xfe\xc6\x9c\n'
STATUS_OK 17/01 14:11:47 SUM: 0  	b'\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 203  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 89  	b'3 \xa8YF\xff\xb1\x07V\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 213  	b'3\x00\xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 96  	b'\xce\x8fo\xe4\xcb\xa9\xb5\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:11:47 SUM: 211  	b's\xf5I\xff}\x00'
