WRONG_SUM! 17/01 13:48:30 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:30 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 134  	b'3 (\xce\xc5qg2T\xdc\xae\x04\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 155  	b'\x9a\xda\xc7!\x00o\xd5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:48:31 SUM: 141  	b'\x8a\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 89  	b'\xce\x8fo\xe6\xcb\xa9\xb5\xf6?\xb5\xfb\xe7\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 164  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xc0s\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 202  	b'3 \xa8\x0f1\xed\xb1\x07V\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 37  	b'3\x00\xa8\xef\xc5U\xd0\x85_\x84\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 80  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 79  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4h\x98\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 73  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 169  	b'\xc7\x00@x\x85\xe1\x9e\x1c\x93\xa0\x9c\xb9\xe8$\xd2\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 18  	b'\xc7\x80@~\x16\xa9\x0e\x1c\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:31 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 110  	b'3 (\xce\xc5qo2\x14\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 136  	b'\x9a\xda\xc7\x10\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 98  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:48:32 SUM: 197  	b'\x00\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 11  	b'\xceGo\xcc\xcb\xa9j\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 190  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xc0s\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 8  	b'\xce\x16\xfe\x16\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 234  	b'3\x00\xa8\x0f1\xed\xb1\x07V\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 5  	b'3 \xa8\xef\xc5U\xd0\x85_\x84\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 142  	b'\x03\x80@\xde\xc5\xd1g\xbc4\x98\xb44\x98\xe4 \x98\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 52  	b'\xce\xfa\xd7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 161  	b'NA\xbfU\xf1\xcb\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 177  	b'\xce@\x9f__\xba*\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 41  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 135  	b'\xc7\x80@x\x85\xe1\xde\x1c2\xe8\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 123  	b'\xc7\x00@~\x16j\x80\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:32 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 81  	b'3\x00(\xef\xc5qo2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 38  	b'\x9a\x80@/\x11\xa3\x7f\x01\x00\x02\x02\xec\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 57  	b'\x9a\x80\x00\xde\xc5\xd1o\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:48:33 SUM: 1  	b'\x14\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 250  	b'\xceGo\xcc\xcb\xa9j\xf6?\xb5\xf6\xe7\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 164  	b'\x93\rL\xfd\xd3~\xfe$\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 254  	b'3\x00\xa8\x0f1\xed\xb1\x07B\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 66  	b'3 \xa8\xef`U\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 110  	b'\x03\x80@\xde\xc5\xd1g\xbc4\x98\xb44\xb8\xe4 \x98\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 203  	b'\x03\xdaA\x06\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 41  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 231  	b'\xc7\x80@xW\xbe8\xfa\x1c2\xfc\x9c\xb9\xe8$\xd2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:33 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 173  	b'3\x00(\xef\xc5q\xef2T\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 78  	b'S\xf5\xffZ\xff\x12\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 119  	b'\x9a\xda\xc7!\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 153  	b'\x9a\x80\xa0\xde\xc5\xd1o\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:48:34 SUM: 99  	b'\x14\xdc\xb6W\xa0\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 152  	b'\xce\x8fo\xe6\xcb\xa9\xb5\xf6?j\xf6\xe7\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 68  	b's\xf5I\xff\xa9q\xc2\xfe\xfe4\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 253  	b'3\x00\xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 38  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\x98\xb44\xb8\xe4 \x98\x03\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 212  	b'\xf3V\xfd\xe6\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 73  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 2  	b'\xc7\x80@x\x85\xe1O\x1c2\xfc\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 206  	b'\xc7\x80@~\x16\xfd\x0e\x0c\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:34 SUM: 165  	b's\xec\xfc\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 126  	b'3 (\xce\xc5qg2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 244  	b'S\xf5\xff\xc9\xfe\xfe\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 58  	b'\x9a\xda\xc7\x01\x00oW\xffI\xff}\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:48:35 SUM: 1  	b'\x14\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:35 SUM: 123  	b'\xce\x8fo\xe6\xcb\xa4\xa9\xd9?\xb5\xf6\xe7\x00S\xf5\xc9\x00'
