WRONG_SUM! 17/01 14:06:34 SUM: 226  	b'U\xc9\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 212  	b'\xf3V\xfd\xe6\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:34 SUM: 233  	b'\x06\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 239  	b'\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 173  	b'\xc7\x80@xW\xbe8\xfa\x1c2\xf4\x9c\xb9\xa1${\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:06:34 SUM: 120  	b'3\x00(\xce\xc5qg2T\xdc\xae\x04\xdc\xde4\xdc\xae\x1a\x1c\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 164  	b'\xc2\x9a8'
WRONG_SUM! 17/01 14:06:35 SUM: 253  	b'\x03\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:35 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:35 SUM: 175  	b'\x01\x00oU\xff\xff\x92\xfe\xfe\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 171  	b'{\xda\xc7'
WRONG_SUM! 17/01 14:06:35 SUM: 223  	b'!\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 34  	b'\x9a\x80@\xde\xc5\xd1g\x85\x8c\x98\n'
WRONG_SUM! 17/01 14:06:35 SUM: 69  	b'\x80\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 19  	b'\xce\xb4\xc3n\xf6\xa9\xd4\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 30  	b'\xceB\xfe\xd4\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 75  	b'\x03\x80@\xde\xc5\xd1o\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 26  	b'3\x00\xa8Y\x02\xff\xb1\x07'
WRONG_SUM! 17/01 14:06:35 SUM: 42  	b'\xd6\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 2  	b'3\x00\xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:35 SUM: 253  	b'\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b'\xf3N\xfe\xee\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 229  	b'\xc7\x9a\x07g\x1f-\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:35 SUM: 254  	b'\x02\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 133  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xe8$\xd2\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 44  	b'\xc7\x80@~}R\x0e'
WRONG_SUM! 17/01 14:06:35 SUM: 244  	b'\x0c\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 14:06:35 SUM: 45  	b'3\x00(\xef\xc5qo2T\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 164  	b'\xc2\x9a8'
WRONG_SUM! 17/01 14:06:36 SUM: 253  	b'\x03\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 237  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:36 SUM: 170  	b'\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:36 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:36 SUM: 238  	b'\x01\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 140  	b'\x9a\xda\xc7'
WRONG_SUM! 17/01 14:06:36 SUM: 223  	b'!\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 154  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xd8\n'
WRONG_SUM! 17/01 14:06:36 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 250  	b'\xce\xb4\xc3\xa6\xf6\xa9\xb5\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 150  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4'
STATUS_OK 17/01 14:06:36 SUM: 0  	b'\x00\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 179  	b'\x03\x80@\xde\xc5\xd1o\xbc4\x98\xb44\x98\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 39  	b'3 \xa8\x0f1\xed\xb1\x07'
WRONG_SUM! 17/01 14:06:36 SUM: 190  	b'B\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 226  	b'3 \xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:36 SUM: 253  	b'\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 239  	b'\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 201  	b'\xc7\x80@x\x85\xe1\xde\x1c2\xf4\x9c\xb9\xe8$\xfb\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 123  	b'\xc7\x80@~\x16j\x07'
WRONG_SUM! 17/01 14:06:36 SUM: 250  	b'\x06\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:36 SUM: 254  	b'\x02\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:36 SUM: 45  	b'sd\xfc\x00'
