WRONG_SUM! 17/01 14:20:06 SUM: 208  	b'\xc7\x80@x\x85\xe1O\x1c\x93\xa0\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 8  	b'\xceOo\xcc\xcb\x1f\x95\xcb\xbf\xaa\xd9\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 30  	b'3 (\xde\xc5q\xef2\x00\xdc\xae\x04\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:06 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 205  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 240  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 1  	b'\x9a\x80@\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:20:07 SUM: 197  	b'\x00\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 30  	b'\x9at{\x9e\xd5\x05\x02\xfa\xdb\x97\xfa\xcf\x97\xf4\xcd\x97\xf8\xd1\x97\xd6\x00G\xa6\x98\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 30  	b'\x9a\xb4{\x98\xfd\xd9\x97\xf8\xdd\x97\xfa\x81\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 222  	b'\x9a\x80\x00{\xc5\x8f\xbe\xa3d\x97h\x00q\x04\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 130  	b's\xf5I\xff\xa9q\x86\xfe\xfc4\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 203  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 195  	b'3 \xa8\x0f1\xf4\xb1\x07V\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 125  	b'3\x00\xa8\xef@U\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 175  	b'\x03\xdaA\x06\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 182  	b'\xc7\x9a\x07g\x1fK\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 190  	b'\xc7\x80@x\x85\xe1O\x1c\x93\xa0\x9c\xb9\xe8${\xa0\xc4\xb6\x1c\x00s\xf5I\xff}\x00'
