WRONG_SUM! 17/01 14:06:21 SUM: 219  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00\xc7\x80@x\x85\xe1O\x1c\x93\xa0\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 206  	b'\xc7\x80@~\x16\xfd\x0e\x0c\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 41  	b'3\x00(\xef\xc5q\xef2\x00\xdc\xae\x04\xdc\xde\x14\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:21 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:22 SUM: 205  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:22 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
