WRONG_SUM! 17/01 13:51:16 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 80  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 24  	b'3\xe0\xeeW\xfe\x0e\xfe\x86\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:16 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 190  	b'3 (\xde\xc5q\xef2T\xdc\xae\x0c\xdc\xde4\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 34  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\xd8\n'
WRONG_SUM! 17/01 13:51:17 SUM: 197  	b'\x00\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 164  	b'3\xe0\xe7\x0f\xf1\xc6\x9c\n'
WRONG_SUM! 17/01 13:51:17 SUM: 256  	b'\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 115  	b'\x03\x80@\xde\xc5\xd1o\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 83  	b'3 \xa8\x0f1\xe4\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 176  	b'3 \xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 188  	b'\xceGo\xe4\xcb\xbf\x95\x94\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 69  	b'\xc2\x9a8\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 9  	b'\x03\x9a\xff\x1d\x00s\xf5I\xff}\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 89  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00\xc7\x80@x\x85\xe1\xde\x1c2\xf4\x9c\xb9\xe8$i\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 6  	b'\x00\xc7\x80@~}R\x0e\x18\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 106  	b'3\xc0\xe4Y\xfev\x10\xe2\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:17 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 22  	b'3\x00(\xce\xc5q\xef2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 147  	b'\x9a\x80\x00/\x11\xa3\x7f\x01\x00\x02\x02\xec\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 1  	b'\x9a\x80@\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:51:18 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 126  	b'3\xa0\xe4\x0f\xf1>\x8d\n'
WRONG_SUM! 17/01 13:51:18 SUM: 256  	b'\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 83  	b'\x03\x80@\xde\xc5\xd1o\xbc4\xd8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 227  	b'3\x00\xa8/1\xe4\xb1\x07F\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 89  	b'3 \xa8\xefAU\xd0\x80_\x8c\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 4  	b'\xce\x8fo\xe6\x8b\xbf\n'
WRONG_SUM! 17/01 13:51:18 SUM: 170  	b'-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 255  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1f-\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 14  	b'\xc7\x80@x\x85\xe1\x9e\x1c2\xf4\x9c\xb9\xe8$\xfa\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 158  	b's\xf5I\xff\xff&\xfb\x92\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 3  	b'\xc2\x80@x\x85\x0f\x9e?%\x7f\x9f\x89\xc6*\xf4\xbe*\xf4\x06\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:18 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 210  	b'3 (\xce\xc5q\xef2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 1  	b'\x9a\x80@\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:51:19 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 16  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00w\x9d\xfa\xdc\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 13:51:19 SUM: 211  	b'\xf3F\xfe\xf6\x00'
